the_geom,STREET,ST_NAME,ONEWAY_DIR,F_STREET,T_STREET,DISPLAYROU,MI_CTRLINE,BR_ONEWAY,BR_OW_DIR,CONTRAFLOW,DISPLAYROU_CLEAN,length_miles,CArea,geometry,weight,weighted_miles,PROTECTED_MI,BUFFERED_MI,BIKE_MI,SHARED_MI,NEIGHBORHOOD_MI
"MULTILINESTRING ((-87.70296713856047 41.77167494524432, -87.70296713856047 41.77167494524432, -87.70321911900041 41.77167254062672, -87.70350409624523 41.771666062158985, -87.70387073968014 41.77166066250914, -87.70416060380678 41.771656733793314, -87.7043635067011 41.771653508667015, -87.70462246730145 41.77164965719424, -87.70505467494213 41.77164236164305, -87.70529266501367 41.77163861366484, -87.70538198087915 41.77163707067138, -87.70546993866935 41.771635794795976, -87.70559888781442 41.77163375513942, -87.70599131419955 41.77162706252474, -87.70649964213469 41.771618118944474, -87.7068434403108 41.771613243321134, -87.70723688876441 41.77160704542114, -87.70737830108442 41.771605181529885, -87.70781009215622 41.77159910773322, -87.70792133128244 41.771597545272996, -87.70860394344929 41.771583915553514, -87.70930313000515 41.7715736374064, -87.7095259019701 41.771570346315606, -87.70991132427221 41.7715637661437, -87.71023797210917 41.77155829389883, -87.71038635523924 41.77155580504778, -87.71072587301596 41.771549988834, -87.7117193426219 41.77153360583711, -87.71223998520277 41.77152475840473, -87.71254914396768 41.77152327356865))",MARQUETTE RD,MARQUETTE,-,S CENTRAL PARK AVE,S KEDZIE AVE,BUFFERED,0.495170723593,,,,BUFFERED,0.4949894891533555,Chicago Lawn,"LINESTRING (441574.1116551676 4624664.8317207, 441553.1664368324 4624664.735958577, 441529.4750291223 4624664.21038975, 441498.99701295444 4624663.860222907, 441474.90174568584 4624663.6212462075, 441458.0347905698 4624663.401269619, 441436.50809668674 4624663.149962951, 441400.57904966467 4624662.634369898, 441380.79538252973 4624662.3804332325, 441373.3705977459 4624662.270002361, 441366.0589306409 4624662.188310201, 441355.3396205822 4624662.049776999, 441322.717475579 4624661.574390955, 441280.4602508819 4624660.928365347, 441251.8814238492 4624660.621834604, 441219.1747603464 4624660.202544997, 441207.4197386401 4624660.092266215, 441171.5263774075 4624659.713185092, 441162.2794383223 4624659.6158083305, 441105.5324485405 4624658.569783706, 441047.4109408623 4624657.907680072, 441028.89248440706 4624657.69501179, 440996.85250984086 4624657.228793872, 440969.6985193394 4624656.845384946, 440957.3635362873 4624656.670915418, 440929.13955213374 4624656.258306673, 440846.5533538022 4624655.122209558, 440803.2725652462 4624654.498148889, 440777.57579404133 4624654.546135588)",5,2.4749474457667775,0.0,0.4949894891533555,0.0,0.0,0.0
"MULTILINESTRING ((-87.69808324194773 41.771749061976315, -87.69821223252286 41.771739209425974, -87.6992843103819 41.77172603087337, -87.69950579450476 41.77172330132666, -87.70032452736461 41.771713133157846, -87.70051216898031 41.77171103902815, -87.70068881161733 41.77170907490109, -87.70087678867903 41.77170637788229, -87.70104137132081 41.77170431981143, -87.70119172971683 41.77170234800572, -87.70141817908281 41.77169796832489, -87.70160627616634 41.77169431008977, -87.70171986610211 41.7716922173426, -87.70202074420536 41.77168665379965, -87.70236504274476 41.77168319348703, -87.70281465879746 41.77167641343471, -87.70296713856047 41.77167494524432))",MARQUETTE RD,MARQUETTE,-,S KEDZIE AVE,S SACRAMENTO AVE,SHARED,0.252403560626,,,,SHARED,0.2523107660810703,Chicago Lawn,"LINESTRING (441980.0973087757 4624669.7542510545, 441969.3675534547 4624668.747395859, 441880.2513605865 4624668.008177912, 441861.84053943836 4624667.854827709, 441793.78345748817 4624667.279687254, 441778.1859785669 4624667.174196244, 441763.5027818114 4624667.075724951, 441747.876875146 4624666.903591218, 441734.1959419864 4624666.786581544, 441721.6973156152 4624666.669536859, 441702.8723062263 4624666.336753828, 441687.2355479902 4624666.058114571, 441677.7927716281 4624665.902789725, 441652.7806342537 4624665.489175312, 441624.161565185 4624665.33863146, 441586.7861497249 4624664.891152494, 441574.1116551676 4624664.8317207)",2,0.5046215321621406,0.0,0.0,0.0,0.2523107660810703,0.0
"MULTILINESTRING ((-87.54814956426897 41.75197583651791, -87.54684020451867 41.751625545163925, -87.54441388616657 41.750970119743435, -87.54255576070616 41.75047209958708, -87.54240685924292 41.75041882325518, -87.54225808574061 41.75035808273978, -87.54211915269515 41.75030484765855, -87.54198043775796 41.750236712079406, -87.54157937888887 41.74999502991512, -87.54123770107404 41.74971659884671, -87.54095919238628 41.74940045602907, -87.54074777361916 41.74905242006803, -87.54061114152395 41.74868437334268, -87.54056320645694 41.7484373299313, -87.54055179348467 41.74824509483393, -87.54051712411966 41.74661905069684, -87.54041928099899 41.74477878886016, -87.54043227556753 41.74298100496234, -87.54038621666315 41.74115235110615, -87.54035102913558 41.73935749918071, -87.54030354791026 41.73751066687814))",LAKE SHORE DR,LAKE SHORE,-,E 87TH ST,E 79TH ST,BUFFERED,1.24422956687,,,,BUFFERED,1.2437273320222437,South Chicago,"LINESTRING (454427.6192660405 4622384.150321249, 454536.2307886353 4622344.566652165, 454737.4928291361 4622270.519063756, 454891.62903519673 4622214.2507604845, 454903.9715356308 4622208.257724801, 454916.29819501226 4622201.436069807, 454927.8119821975 4622195.452878808, 454939.29723411135 4622187.815499227, 454972.4728213491 4622160.7728790175, 455000.68595056527 4622129.681438424, 455023.62098612625 4622094.436199824, 455040.9559666634 4622055.685169631, 455052.05918505846 4622014.751563641, 455055.8723445048 4621987.298641765, 455056.6871787437 4621965.949866832, 455058.4356828564 4621785.400982017, 455065.2877675873 4621581.035751244, 455062.95376870246 4621381.444557947, 455065.5086938428 4621178.395271773, 455067.18343399855 4620979.104566281, 455069.8444634593 4620774.0364193)",5,6.218636660111219,0.0,1.2437273320222437,0.0,0.0,0.0
"MULTILINESTRING ((-87.63381261441066 41.8812895610097, -87.63383083319945 41.88198146459542, -87.63384832003507 41.88258243379351, -87.63386005658133 41.883209912626214, -87.63387606965935 41.883847178922835, -87.63389493881984 41.88446949619515, -87.63391249136856 41.885102970491786, -87.6339300587056 41.88572881622996, -87.63393463480875 41.8858779421339, -87.63393920699099 41.886078244209415, -87.6339444221327 41.886276931383264, -87.63394546217636 41.88631623573572, -87.63396049909758 41.886705295569676, -87.63396226723 41.88678897848208, -87.63396288599567 41.886816424595885, -87.63396415122402 41.8868755161748, -87.63396537020951 41.88693210902963), (-87.6338096028811 41.88129383188655, -87.63380941136741 41.881285322504425, -87.63380598159308 41.881135191478734, -87.63380276557523 41.88099252557241, -87.63380068540621 41.880900251427114, -87.63380014503736 41.88071418920216, -87.63379804058852 41.88066026130119, -87.63378702904602 41.88037804915531, -87.63378250386002 41.88020376160144, -87.63377783895055 41.88002461315325, -87.63377629258729 41.87996524968836, -87.63377240465066 41.87981670763885, -87.63376806009393 41.87964939160433, -87.63374996456889 41.8794939024025, -87.63375370677512 41.879386405629894, -87.63375869389422 41.87924230859079, -87.63375295554734 41.87902097801722, -87.63375237568712 41.87875769147292, -87.63375072565964 41.87872716527488, -87.63374008080272 41.87853154553216, -87.63373181235819 41.87821911834771, -87.63372916258277 41.87811866289225, -87.63371970576439 41.877760233634696, -87.63371203210664 41.877561504173705, -87.63370901212585 41.87745456939902, -87.63370317712446 41.87723880947597, -87.63369812652412 41.87705219745884, -87.63369591494587 41.876955311802966, -87.6336935061277 41.87684967092873))",WELLS ST,WELLS,S,W VAN BUREN ST,W WACKER DR,SHARED,0.696351813512,Y,S,,SHARED,0.6960852943816022,Loop,"MULTILINESTRING ((447411.581054369 4636790.263229442, 447410.6367631946 4636867.094586883, 447409.6786734257 4636933.8293032255, 447409.21945460304 4637003.503797125, 447408.41346976126 4637074.267595742, 447407.35829495906 4637143.373402042, 447406.4215426174 4637213.717144377, 447405.47734172636 4637283.213924896, 447405.219992306 4637299.773789369, 447405.00494529004 4637322.015608859, 447404.73523328366 4637344.0785248885, 447404.68118368415 4637348.4430223545, 447403.75276170817 4637391.648541701, 447403.67470935715 4637400.940722252, 447403.64588620345 4637403.9883724, 447403.5893867144 4637410.549932819, 447403.5346744084 4637416.834038098), (447411.83442874445 4636790.73556801, 447411.8433416436 4636789.790676913, 447412.004815949 4636773.119932686, 447412.1546770854 4636757.278151912, 447412.2516138853 4636747.031928433, 447412.1438895343 4636726.373612098, 447412.2742838311 4636720.384853834, 447412.9565504912 4636689.044857409, 447413.18911913957 4636669.69141102, 447413.429298227 4636649.798187756, 447413.5089335647 4636643.206276351, 447413.709741622 4636626.711675022, 447413.93304670195 4636608.132370025, 447415.30702694773 4636590.857741144, 447414.90838797676 4636578.924961144, 447414.3764448987 4636562.9293167135, 447414.6711232627 4636538.352073403, 447414.5033820213 4636509.119735453, 447414.6152666736 4636505.729484543, 447415.33815168205 4636484.0038401075, 447415.7680979485 4636449.310844098, 447415.90561139036 4636438.155928409, 447416.3964636273 4636398.354723907, 447416.87028312794 4636376.285640383, 447417.0332093993 4636364.411118351, 447417.34050833585 4636340.4523176, 447417.60661762924 4636319.730209326, 447417.71070713486 4636308.971909365, 447417.8239868555 4636297.24142122))",2,1.3921705887632043,0.0,0.0,0.0,0.6960852943816022,0.0
"MULTILINESTRING ((-87.59169592896838 41.79550913173042, -87.59169486513937 41.795509151872885, -87.59156991133318 41.79551012869868, -87.59132024266668 41.79551024586616, -87.59110356433092 41.79551175511379, -87.59086340685971 41.79551404496854, -87.59063882772487 41.79551687441156, -87.59034683848883 41.795520364972646, -87.59034654493875 41.79552036307404, -87.59008833415358 41.79552346730739, -87.58987046596664 41.79552642150013, -87.58970498314892 41.79552784706904, -87.58960384179694 41.79552137512335, -87.58950323406243 41.79550038835876, -87.5894157623424 41.795466204572776, -87.58930606841392 41.795400179880644, -87.5892422941256 41.795295704056755, -87.58921591378251 41.79523016397852, -87.58921042017936 41.79520103890073))",55TH PL,55TH,W,S DORCHESTER AVE,E 55TH ST,BUFFERED,0.140520676257,Y,W,,BUFFERED,0.1404655072983583,Hyde Park,"LINESTRING (450840.47487927484 4627241.42219302, 450840.56328050443 4627241.423820994, 450850.94553239935 4627241.460825897, 450871.68878036365 4627241.331120856, 450889.69216363557 4627241.374878796, 450909.6468526084 4627241.49194143, 450928.307660847 4627241.677860404, 450952.5695868053 4627241.8987660585, 450952.59397430037 4627241.898387779, 450974.0491972696 4627242.095746987, 450992.15253086115 4627242.299510425, 451005.90237960906 4627242.36345811, 451014.30055000883 4627241.587268176, 451022.64333680493 4627239.199876332, 451029.8847063366 4627235.354770536, 451038.94813390035 4627227.961861199, 451044.16717838706 4627216.326054959, 451046.3090624782 4627209.03440896, 451046.7433248056 4627205.7976528695)",5,0.7023275364917915,0.0,0.1404655072983583,0.0,0.0,0.0
"MULTILINESTRING ((-87.59230752102359 41.79512352746603, -87.59230725144754 41.795115073216024, -87.59229050004905 41.79505395995924, -87.59226119335258 41.79498442303666, -87.59220415054034 41.79490318085206, -87.5921683772512 41.79488239590013, -87.59201906260014 41.79481117881906, -87.59194251250342 41.79479026750276, -87.59185846261433 41.794783605329066, -87.59167681705948 41.794784436024145))",55TH PL,55TH,E,E 55TH ST,S DORCHESTER AVE,PROTECTED,0.0456951713071,Y,E,,PROTECTED,0.045677248916404296,Hyde Park,"LINESTRING (450789.3671544042 4627198.960187088, 450789.3830844334 4627198.021394983, 450790.72809690837 4627191.226672747, 450793.1098058154 4627183.489521998, 450797.78698154393 4627174.436914051, 450800.7432567316 4627172.108779331, 450813.0943972982 4627164.1164204385, 450819.43847222114 4627161.75093364, 450826.41655359924 4627160.963181375, 450841.5089704807 4627160.951522623)",10,0.45677248916404295,0.045677248916404296,0.0,0.0,0.0,0.0
"MULTILINESTRING ((-87.62596607752461 41.87312559445628, -87.62595798901968 41.87274033446924, -87.62595013790826 41.87236009802327, -87.6259456224443 41.87217027822181, -87.6259375456463 41.87184056211455, -87.62593087993532 41.87156925263765, -87.62592722013439 41.871395025695165, -87.6259242386308 41.87125258048435, -87.62592026947813 41.871086419588444, -87.62591525015371 41.870849010880136, -87.62591337049801 41.870746474688396, -87.62590769007157 41.87055569869682, -87.62590769034951 41.87055567348897, -87.6258997305408 41.87028856777813, -87.62589769847403 41.87019319285662, -87.6258961761688 41.87012150366519, -87.62589138186213 41.86989035367874, -87.62589033306281 41.86983897461134, -87.62588505316867 41.86961188306457, -87.62587504333483 41.86927104107991, -87.62586529747675 41.86893958496554, -87.62585503211957 41.86860521752641, -87.6258463816668 41.86839083870456, -87.62583605565727 41.86813528590965, -87.62582986096405 41.867431868915574))",WABASH AVE,WABASH,-,W ROOSEVELT RD,E BALBO AVE,PROTECTED,0.393035737161,,,,PROTECTED,0.39288460266399106,Loop,"LINESTRING (448056.01255926746 4635879.062485427, 448056.3718301454 4635836.283282298, 448056.71547902026 4635794.061975012, 448056.9365016079 4635772.984098337, 448057.3397967744 4635736.371785568, 448057.6732888442 4635706.245047461, 448057.8359402574 4635686.898921368, 448057.96803579363 4635671.081839542, 448058.1628928756 4635652.631077006, 448058.38722002227 4635626.269242663, 448058.4601930074 4635614.8838110175, 448058.777140166 4635593.699072494, 448058.7770966933 4635593.696273907, 448059.22141122725 4635564.035491508, 448059.31283396564 4635553.445063635, 448059.3811287378 4635545.484701593, 448059.5918663725 4635519.817895458, 448059.6373096622 4635514.112793798, 448059.8916346942 4635488.896291756, 448060.44640710915 4635451.047552724, 448060.98688113433 4635414.241061214, 448061.5681209983 4635377.111021825, 448062.11247764167 4635353.303942226, 448062.7625647014 4635324.924425808, 448062.7072945005 4635246.822381805)",10,3.928846026639911,0.39288460266399106,0.0,0.0,0.0,0.0
"MULTILINESTRING ((-87.71577384233802 41.87721155350709, -87.71598639911822 41.87720882665429, -87.7161576838758 41.877206124308515, -87.71627998783289 41.877203187352045, -87.71647957386755 41.87720143248971, -87.71675370704926 41.8771990079361, -87.71710474353512 41.87719518391786, -87.71736897675746 41.877191222809145, -87.71768120590335 41.877186804429776, -87.71795251962439 41.877183538986266, -87.71834429142855 41.87717822780362, -87.71853867290447 41.87717548172609, -87.71861230551762 41.87717444884319, -87.71889838625988 41.877170436394394, -87.7190748760955 41.877168636279684, -87.71938635410851 41.877166020735444, -87.71965693917967 41.87716208831847, -87.71995057733793 41.87715890953496, -87.72032926716942 41.877154592214396, -87.72054634393517 41.877151579432365, -87.7206295970984 41.877150431827054))",JACKSON BLVD,JACKSON,-,S HAMLIN BLVD,S CENTRAL PARK BLVD,PROTECTED,0.250498687626,,,,PROTECTED,0.25040758745114744,Garfield Park,"LINESTRING (440607.3173853749 4636390.963320229, 440589.6774588554 4636390.807677407, 440575.46219732263 4636390.626222543, 440565.3110153118 4636390.384827634, 440548.7482638281 4636390.3282216545, 440525.9991635455 4636390.248955179, 440496.8675281962 4636390.06769613, 440474.93847025244 4636389.811129425, 440449.0264081296 4636389.537161555, 440426.5104687686 4636389.3628946915, 440393.997326525 4636389.045216032, 440377.86550255254 4636388.875340804, 440371.7546985513 4636388.811816211, 440348.0127263896 4636388.565118899, 440333.3663804557 4636388.487937233, 440307.51830320066 4636388.4141260935, 440285.0621889812 4636388.165747199, 440260.69388761756 4636388.0171588315, 440229.2671523757 4636387.80147245, 440211.25186878996 4636387.618168531, 440204.3426638679 4636387.548752144)",10,2.504075874511474,0.25040758745114744,0.0,0.0,0.0,0.0
"MULTILINESTRING ((-87.65653901691825 41.896967977142815, -87.65655843528586 41.897310050872576, -87.65656902347514 41.8974969685732, -87.65657090222018 41.89756259449468, -87.65657479073376 41.89769878636286, -87.65658178442341 41.897944354302815, -87.65658516470366 41.89806248598478, -87.6565889228275 41.89819368289685, -87.65659791420902 41.89837183626855, -87.65659794630086 41.89837222090204))",ELSTON AVE,ELSTON,-,N MILWAUKEE AVE,W CHESTNUT ST,BUFFERED,0.0969698399985,,,,BUFFERED,0.09693322441805216,West Town,"LINESTRING (445539.2459087591 4638545.174423586, 445537.9257683839 4638583.166396283, 445537.2062845758 4638603.926153776, 445537.1062019175 4638611.213639481, 445536.8993667619 4638626.337173826, 445536.52789419045 4638653.606450775, 445536.3478759202 4638666.724482966, 445536.1476184785 4638681.293357505, 445535.5531645644 4638701.07902164, 445535.5508293847 4638701.121746979)",5,0.48466612209026083,0.0,0.09693322441805216,0.0,0.0,0.0
"MULTILINESTRING ((-87.64901186784496 41.93271877210917, -87.6490119284855 41.932719979816625, -87.64902743161662 41.93315033845325, -87.649029932614 41.93322227912492, -87.64904373815772 41.93362241424794, -87.64905184820192 41.93385725758155, -87.6490631713844 41.93413882749841, -87.64907681355048 41.934543899904035, -87.6490787416777 41.93460074487278, -87.64909261770038 41.93504588432392, -87.64910750774226 41.935457990292115, -87.64911195984841 41.93558125969407, -87.64911936708853 41.935785665729334, -87.64912456993082 41.9359694491184, -87.64912669215609 41.93602190430952, -87.6491408929276 41.936378160301395))",HALSTED ST,HALSTED,-,W DIVERSEY PKWY,W WELLINGTON AVE,BUFFERED,0.252651679418,,,,BUFFERED,2.1507020223317987e-05,Lincoln Park,"LINESTRING (446193.6698093063 4642509.861205283, 446193.6687743608 4642509.895802011)",5,0.00010753510111658993,0.0,2.1507020223317987e-05,0.0,0.0,0.0
