Unnamed: 0,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,INTERSECTION_RELATED_I,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,DOORING_I,MOST_SEVERE_INJURY,CRASH_HOUR,CRASH_MONTH,LATITUDE,LONGITUDE,CRASH_YEAR,SPEED_LIMIT,geometry,DISPLAYROU,the_geom,DIST,LANE_TYPE,CRASH_DATE,is_severe,index_right,CArea
0,30,NO CONTROLS,NO CONTROLS,SNOW,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,ALLEY,STRAIGHT AND LEVEL,WET,UNKNOWN,N,UNABLE TO DETERMINE,UNABLE TO DETERMINE,,NO INDICATION OF INJURY,20,1,41.8930077132,-87.6240535191,2018,30,POINT (-87.6240535191 41.8930077132),,,,,2018-01-03,False,7,Near North Side
1,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,WET,NO DEFECTS,,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,Y,NONINCAPACITATING INJURY,17,1,41.9064291205,-87.6715142146,2018,30,POINT (-87.6715142146 41.9064291205),,,,,2018-01-04,False,23,West Town
2,30,TRAFFIC SIGNAL,UNKNOWN,CLEAR,DUSK,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,UNABLE TO DETERMINE,UNABLE TO DETERMINE,,NO INDICATION OF INJURY,18,1,41.8893187111,-87.6281526679,2018,30,POINT (-87.6281526679 41.8893187111),,,,,2018-01-04,False,7,Near North Side
3,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,DISREGARDING TRAFFIC SIGNALS,NOT APPLICABLE,,"REPORTED, NOT EVIDENT",20,1,41.8717454646,-87.6273770319,2018,30,POINT (-87.6273770319 41.8717454646),,,,,2018-01-05,False,31,Loop
4,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,Y,DISREGARDING TRAFFIC SIGNALS,UNABLE TO DETERMINE,,NO INDICATION OF INJURY,20,1,41.8924441521,-87.6372003798,2018,30,POINT (-87.6372003798 41.8924441521),,,,,2018-01-06,False,7,Near North Side
5,30,NO CONTROLS,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,,NO INDICATION OF INJURY,11,1,41.9540584635,-87.6778776533,2018,30,POINT (-87.6778776533 41.9540584635),,,,,2018-01-07,False,4,North Center
6,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,SLEET/HAIL,DARKNESS,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,,UNABLE TO DETERMINE,UNABLE TO DETERMINE,,NO INDICATION OF INJURY,17,1,41.9854383617,-87.6693305063,2018,30,POINT (-87.6693305063 41.9854383617),,,,,2018-01-07,False,76,Edgewater
7,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,WET,NO DEFECTS,Y,UNABLE TO DETERMINE,UNABLE TO DETERMINE,,NONINCAPACITATING INJURY,14,1,41.9099750102,-87.7264805231,2018,35,POINT (-87.7264805231 41.9099750102),,,,,2018-01-08,False,22,Humboldt Park
8,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,,UNABLE TO DETERMINE,UNABLE TO DETERMINE,,INCAPACITATING INJURY,15,1,41.9235118102,-87.7923605086,2018,30,POINT (-87.7923605086 41.9235118102),,,,,2018-01-08,True,17,Montclare
9,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,WET,NO DEFECTS,Y,UNABLE TO DETERMINE,UNABLE TO DETERMINE,,NONINCAPACITATING INJURY,14,1,41.7360065646,-87.645341819,2018,35,POINT (-87.645341819 41.7360065646),,,,,2018-01-10,False,70,Auburn Gresham
