CArea,total_crashes,severe_crashes,severe_rate,crash_rate
Rogers Park,296,31,0.10472972972972973,0.018873939934961424
West Ridge,345,39,0.11304347826086956,0.02199834215392463
Uptown,594,49,0.08249158249158249,0.03787540649110502
Lincoln Square,338,18,0.05325443786982249,0.021551998979787032
North Center,288,31,0.1076388888888889,0.018363833450232736
Lake View,882,78,0.08843537414965986,0.056239239941337754
Lincoln Park,1066,87,0.08161350844277673,0.06797168909009756
Near North Side,1613,109,0.0675759454432734,0.10285021998342155
Edison Park,25,4,0.16,0.0015940827647771471
Norwood Park,0,0,0,0.0
Jefferson Park,148,24,0.16216216216216217,0.009436969967480712
Forest Glen,142,15,0.1056338028169014,0.009054390103934197
North Park,95,11,0.11578947368421053,0.006057514506153159
Albany Park,221,16,0.07239819004524888,0.014091691640629981
Portage Park,330,34,0.10303030303030303,0.021041892495058345
Irving Park,463,30,0.06479481641468683,0.029522412803672765
Dunning,111,17,0.15315315315315314,0.007077727475610533
Montclare,43,6,0.13953488372093023,0.002741822355416693
Belmont Cragin,418,36,0.0861244019138756,0.0266530638270739
Hermosa,178,17,0.09550561797752809,0.011349869285213289
Avondale,92,5,0.05434782608695652,0.005866224574379902
Logan Square,588,49,0.08333333333333333,0.037492826627558505
Humboldt Park,495,48,0.09696969696969697,0.031562838742587515
West Town,734,67,0.09128065395095368,0.046802269973857044
Austin,370,37,0.1,0.02359242491870178
Garfield Park,217,26,0.11981566820276497,0.013836638398265638
Near West Side,1131,89,0.07869142351900972,0.07211630427851815
North Lawndale,209,19,0.09090909090909091,0.01332653191353695
South Lawndale,168,13,0.07738095238095238,0.010712236179302429
Lower West Side,401,39,0.09725685785536159,0.025569087547025443
Loop,546,41,0.07509157509157509,0.03481476758273289
Near South Side,200,14,0.07,0.012752662118217177
Armour Square,49,2,0.04081632653061224,0.0031244022189632088
Douglas,83,9,0.10843373493975904,0.005292354779060129
Oakland,5,0,0.0,0.00031881655295542947
Fuller Park,14,1,0.07142857142857142,0.0008926863482752025
Grand Boulevard,59,4,0.06779661016949153,0.0037620353248740673
Kenwood,48,5,0.10416666666666667,0.003060638908372123
Washington Park,65,9,0.13846153846153847,0.004144615188420583
Hyde Park,106,6,0.05660377358490566,0.006758910922655104
Woodlawn,124,14,0.11290322580645161,0.007906650513294651
South Shore,94,18,0.19148936170212766,0.005993751195562074
Chatham,104,13,0.125,0.006631384301472932
Avalon Park,29,2,0.06896551724137931,0.0018491360071414909
South Chicago,50,9,0.18,0.0031881655295542943
Burnside,2,0,0.0,0.00012752662118217177
Calumet Heights,3,1,0.3333333333333333,0.00019128993177325768
Roseland,103,8,0.07766990291262135,0.006567620990881847
Pullman,6,0,0.0,0.00038257986354651535
South Deering,18,4,0.2222222222222222,0.001147739590639546
East Side,38,8,0.21052631578947367,0.002423005802461264
West Pullman,37,8,0.21621621621621623,0.002359242491870178
Riverdale,3,1,0.3333333333333333,0.00019128993177325768
Hegewisch,9,3,0.3333333333333333,0.000573869795319773
Garfield Ridge,101,11,0.10891089108910891,0.006440094369699675
Archer Heights,60,8,0.13333333333333333,0.003825798635465153
Brighton Park,137,9,0.06569343065693431,0.008735573550978766
Mckinley Park,44,3,0.06818181818181818,0.002805585666007779
Bridgeport,39,4,0.10256410256410256,0.00248676911305235
New City,156,11,0.07051282051282051,0.0099470764522094
West Elsdon,51,3,0.058823529411764705,0.00325192884014538
Gage Park,131,14,0.10687022900763359,0.008352993687432251
Clearing,51,6,0.11764705882352941,0.00325192884014538
West Lawn,97,6,0.061855670103092786,0.006185041127335331
Chicago Lawn,120,18,0.15,0.007651597270930306
Englewood,215,34,0.15813953488372093,0.013709111777083467
Grand Crossing,75,10,0.13333333333333333,0.004782248294331441
Ashburn,64,5,0.078125,0.0040808518778294965
Auburn Gresham,71,8,0.11267605633802817,0.0045271950519670985
Beverly,73,3,0.0410958904109589,0.0046547216731492695
Washington Heights,18,2,0.1111111111111111,0.001147739590639546
Mount Greenwood,43,2,0.046511627906976744,0.002741822355416693
Morgan Park,29,6,0.20689655172413793,0.0018491360071414909
O'Hare,21,3,0.14285714285714285,0.0013390295224128036
Edgewater,291,26,0.08934707903780069,0.018555123382005993
